<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
+МосЭнерго;D;010321;000000;2.1705;2.2;2.17;2.1885;10225000;0
+МосЭнерго;D;020321;000000;2.1895;2.1895;2.148;2.156;7949000;0
+МосЭнерго;D;030321;000000;2.158;2.1825;2.1575;2.175;7854000;0
+МосЭнерго;D;040321;000000;2.1805;2.1815;2.1525;2.17;12488000;0
+МосЭнерго;D;050321;000000;2.1515;2.1795;2.1515;2.177;9495000;0
+МосЭнерго;D;090321;000000;2.175;2.216;2.175;2.2;18320000;0
+МосЭнерго;D;100321;000000;2.21;2.216;2.1905;2.2045;4669000;0
+МосЭнерго;D;110321;000000;2.1845;2.2065;2.1845;2.1965;7264000;0
+МосЭнерго;D;120321;000000;2.208;2.208;2.19;2.204;5790000;0
+МосЭнерго;D;150321;000000;2.2185;2.2185;2.1955;2.1965;6885000;0
+МосЭнерго;D;160321;000000;2.213;2.213;2.19;2.205;6387000;0
+МосЭнерго;D;170321;000000;2.21;2.21;2.1605;2.175;24256000;0
+МосЭнерго;D;180321;000000;2.189;2.197;2.17;2.17;12632000;0
+МосЭнерго;D;190321;000000;2.18;2.1945;2.1505;2.1505;36815000;0
+МосЭнерго;D;220321;000000;2.15;2.1775;2.1255;2.151;6897000;0
+МосЭнерго;D;230321;000000;2.152;2.16;2.1435;2.16;7283000;0
+МосЭнерго;D;240321;000000;2.1475;2.1675;2.1395;2.1555;4516000;0
+МосЭнерго;D;250321;000000;2.16;2.194;2.155;2.18;4766000;0
+МосЭнерго;D;260321;000000;2.18;2.2085;2.168;2.2025;13889000;0
+МосЭнерго;D;290321;000000;2.2005;2.255;2.192;2.255;26770000;0
+МосЭнерго;D;300321;000000;2.2475;2.281;2.242;2.281;16182000;0
+МосЭнерго;D;310321;000000;2.271;2.283;2.26;2.28;9543000;0
+МосЭнерго;D;010421;000000;2.28;2.29;2.2655;2.27;13275000;0
+МосЭнерго;D;020421;000000;2.28;2.28;2.243;2.2605;7396000;0
+МосЭнерго;D;050421;000000;2.263;2.28;2.2605;2.2745;3880000;0
+МосЭнерго;D;060421;000000;2.2865;2.2995;2.24;2.259;11670000;0
+МосЭнерго;D;070421;000000;2.259;2.2615;2.229;2.2595;5295000;0
